ID,Position X,Position Y,Position Z,raw int ch1,raw int ch2,raw int ch3,raw int ch4,norm in ch2,norm int ch3,norm int ch4,binary fate 1,binary fate 2,binary fate 3,outside_bool,num_nbrs,num_nbrs_outside,num_nbrs_inside,nbr_ids,nbr_dist_mean,nbr_dist_range
66,2548.93994140625,1803.4200439453125,3188.320068359375,941.541015625,233.26300048828125,1033.6500244140625,191.29600524902344,0.24774597879141783,1.0978279302340537,0.20317331064121527,0,1,0,1.0,10.0,7.0,3.0,[ 14  16  34  60  63  65 189 190 192 193],17.901058328734955,16.441210679788014
67,2515.429931640625,1811.260009765625,3196.6201171875,479.552001953125,244.8260040283203,296.97698974609375,853.2780151367188,0.5105306682720333,0.6192800541683955,1.7793232259723202,0,0,1,0.0,13.0,7.0,6.0,[ 50  51  56  59  61  62  64 103 187 190 194 195 196],21.547417368932244,21.080800738651767
103,2519.6298828125,1842.9599609375,3202.5400390625,828.4910278320312,161.77099609375,180.96299743652344,1187.6400146484375,0.19525980446290064,0.21842481252942667,1.4334977383596004,0,1,1,1.0,3.0,1.0,2.0,[61 64 67],29.978723208621034,6.245383266791638
187,2522.85009765625,1805.3900146484375,3190.18994140625,640.7860107421875,211.11399841308594,926.010986328125,269.79998779296875,0.3294609977027496,1.4451173571276579,0.4210453775051583,0,0,1,0.0,11.0,4.0,7.0,[ 14  15  50  60  62  64  67 189 190 194 195],16.256446829099044,13.971889861615056
189,2535.840087890625,1806.5899658203125,3187.18994140625,768.4730224609375,220.3699951171875,1071.9300537109375,161.79400634765625,0.28676347597926144,1.3948831284645715,0.2105396046689205,1,1,1,0.0,9.0,4.0,5.0,[ 60  63  64  66 187 190 192 193 194],14.838460346439835,12.367543900283678
190,2545.679931640625,1815.3199462890625,3194.6201171875,600.8880004882812,243.3280029296875,371.5870056152344,1377.68994140625,0.40494734914320024,0.618396448777947,2.2927566206792944,1,0,1,1.0,10.0,4.0,6.0,[ 34  63  64  65  66  67 187 189 192 194],20.832915248120848,18.745576153475497
191,2531.52001953125,1776.43994140625,3198.199951171875,576.697998046875,229.8070068359375,691.708984375,156.16600036621094,0.39848760983085363,1.1994301813386505,0.2707933804089909,1,1,1,1.0,9.0,5.0,4.0,[ 14  16  17  19  20  21 192 193 194],16.467582646071854,10.104014172678776
192,2541.469970703125,1791.77001953125,3195.18994140625,561.2589721679688,214.08099365234375,942.4639892578125,144.69400024414062,0.3814299713114883,1.6791962997355168,0.25780256070603685,1,0,1,0.0,10.0,7.0,3.0,[ 16  20  34  60  66 189 190 191 193 194],15.87680909456085,14.612173815710822
193,2534.97998046875,1788.8199462890625,3189.18994140625,850.2999877929688,220.75900268554688,1285.280029296875,252.10400390625,0.2596248451779319,1.5115606818164689,0.29648830709807367,1,0,1,0.0,8.0,5.0,3.0,[ 14  16  60  66 189 191 192 194],13.91858802834097,11.317480470534237
194,2524.60009765625,1792.719970703125,3195.18994140625,491.8710021972656,265.7179870605469,1124.989990234375,124.1780014038086,0.5402188498072514,2.2871646940129966,0.25246050458166025,1,0,0,0.0,15.0,6.0,9.0,[ 14  15  17  20  21  60  67 187 189 190 191 192 193 195 196],18.039586700939974,21.347566320087445
195,2515.75,1789.699951171875,3193.18994140625,629.8489990234375,213.68699645996094,1055.1400146484375,121.18000030517578,0.3392670255748225,1.6752269453224524,0.19239532093098796,1,0,0,0.0,10.0,3.0,7.0,[  3  14  15  17  21  50  67 187 194 196],14.939313023190365,12.640817956061197
196,2503.760009765625,1792.989990234375,3198.199951171875,592.0880126953125,237.02000427246094,1021.3400268554688,244.9029998779297,0.40031211439916625,1.7249800789009533,0.4136260059768451,1,0,0,0.0,11.0,6.0,5.0,[  3   9  17  21  50  51  56  59  67 194 195],18.830570767418905,20.604733213770388
