cell_id1,cell_id2,outside_bool1,outside_bool2,nbr_dist
17.0,195.0,1.0,0.0,12.525622926190985
17.0,196.0,1.0,0.0,19.833660043067777
19.0,20.0,1.0,1.0,23.022581798766154
19.0,21.0,1.0,0.0,12.13318708864613
19.0,191.0,1.0,1.0,14.347953585590167
20.0,21.0,1.0,0.0,25.22762594081438
20.0,34.0,1.0,1.0,23.749143489652013
20.0,191.0,1.0,1.0,10.292059611030785
20.0,192.0,1.0,0.0,16.07414293839108
20.0,194.0,1.0,0.0,22.717338110499746
21.0,59.0,0.0,1.0,28.627857438356912
21.0,191.0,0.0,1.0,19.0326675895559
21.0,194.0,0.0,0.0,17.89127363003639
21.0,195.0,0.0,0.0,14.825939829436022
21.0,196.0,0.0,0.0,17.476484156140103
34.0,63.0,1.0,1.0,26.35823716142598
34.0,66.0,1.0,1.0,10.63036514470596
34.0,190.0,1.0,1.0,21.794771843626368
34.0,192.0,1.0,0.0,12.209282502980276
50.0,51.0,0.0,1.0,12.745463102277974
50.0,56.0,0.0,1.0,27.37166222191186
50.0,62.0,0.0,1.0,13.618573556503689
50.0,67.0,0.0,0.0,14.77938575763273
50.0,187.0,0.0,0.0,18.20337851556561
50.0,195.0,0.0,0.0,18.140240656143284
50.0,196.0,0.0,0.0,13.657935086564155
51.0,56.0,1.0,1.0,19.72128964496735
51.0,61.0,1.0,1.0,25.340321862838206
51.0,62.0,1.0,1.0,20.531235076878552
51.0,67.0,1.0,0.0,19.93977794108012
51.0,196.0,1.0,0.0,22.83812178704618
56.0,59.0,1.0,1.0,22.92588957343198
56.0,67.0,1.0,0.0,26.678319381833717
56.0,196.0,1.0,0.0,30.10940972545425
59.0,67.0,1.0,0.0,25.386213790348936
59.0,196.0,1.0,0.0,26.15454863070383
60.0,61.0,1.0,1.0,29.726463641529897
60.0,62.0,1.0,1.0,21.359187867280397
60.0,63.0,1.0,1.0,17.31726469351245
60.0,64.0,1.0,0.0,17.92522283786992
60.0,66.0,1.0,1.0,15.483475869766197
60.0,187.0,1.0,0.0,15.631410235605994
60.0,189.0,1.0,0.0,7.19553727369427
60.0,192.0,1.0,0.0,19.017983890140826
60.0,193.0,1.0,0.0,16.249096225401487
60.0,194.0,1.0,0.0,20.42605680256852
61.0,62.0,1.0,1.0,16.682159091068552
61.0,63.0,1.0,1.0,28.950730827732958
61.0,64.0,1.0,0.0,14.6678662500978
61.0,65.0,1.0,1.0,29.01956494938271
61.0,67.0,1.0,0.0,20.437228027846846
61.0,103.0,1.0,1.0,26.27494836053801
62.0,64.0,1.0,0.0,17.832938143846476
62.0,67.0,1.0,0.0,13.669904680237174
62.0,187.0,1.0,0.0,11.315089388472986
63.0,64.0,1.0,0.0,14.958504081015418
63.0,65.0,1.0,1.0,12.384242382586036
63.0,66.0,1.0,1.0,15.815417215236964
63.0,189.0,1.0,0.0,14.575711681733395
63.0,190.0,1.0,1.0,12.164664818313389
64.0,65.0,0.0,1.0,18.35105829208004
64.0,67.0,0.0,0.0,20.375634231818037
64.0,103.0,0.0,1.0,31.140889637995446
64.0,187.0,0.0,0.0,16.658192505655876
64.0,189.0,0.0,0.0,14.53276388680875
64.0,190.0,0.0,1.0,19.267912205672417
65.0,66.0,1.0,1.0,25.803488757822024
65.0,190.0,1.0,1.0,15.426404744306318
66.0,189.0,1.0,0.0,13.525226569437415
66.0,190.0,1.0,1.0,13.853734323261591
66.0,192.0,1.0,0.0,15.450523836879373
66.0,193.0,1.0,0.0,20.218804120576525
67.0,103.0,0.0,1.0,32.52033162732965
67.0,187.0,0.0,0.0,11.43953088867788
67.0,190.0,0.0,1.0,30.586689663550416
67.0,194.0,0.0,0.0,20.733316086878713
67.0,195.0,0.0,0.0,21.8335676473379
67.0,196.0,0.0,0.0,21.736526071547086
187.0,189.0,0.0,0.0,13.385803267045354
187.0,190.0,0.0,1.0,25.28697925008804
187.0,194.0,0.0,0.0,13.73289895019074
187.0,195.0,0.0,0.0,17.48111777395391
189.0,190.0,0.0,1.0,15.107699896061101
189.0,192.0,0.0,0.0,17.757431922808554
189.0,193.0,0.0,0.0,17.902887446391738
189.0,194.0,0.0,0.0,19.56308117397795
190.0,192.0,1.0,0.0,23.93005476453999
190.0,194.0,1.0,0.0,30.910240971788884
191.0,192.0,1.0,0.0,18.522229413071692
191.0,193.0,1.0,0.0,15.697647166506995
191.0,194.0,1.0,0.0,17.94393578489317
192.0,193.0,0.0,0.0,9.317880948829167
192.0,194.0,0.0,0.0,16.896597996242505
193.0,194.0,0.0,0.0,12.607622996882341
194.0,195.0,0.0,0.0,9.562674651701437
194.0,196.0,0.0,0.0,21.05807048676087
195.0,196.0,0.0,0.0,13.404641759660779
